datasetnum,channel,count,density_per_epoch,mean_duration_seconds,mean_amplitude_peak2trough_potential,mean_slope_to_trough_min_potential_per_second,mean_slope_zerocrossing_to_trough_potential_per_second,mean_slope_trough_to_up_max_potential_per_second,mean_slope_trough_to_zerocrossing_potential_per_second,mean_frequency_by_duration,mean_frequency_by_trough_to_peak_latency,epoch_length_seconds,lengths_ROI_seconds,used_meanNegPeak_potential,used_meanP2T_potential,mean_SD_of_filtered_signal,mean_negative_peak_potential,mean_positive_peak_potential
50,C3-TP10,1095,1.865417,1.328037,206.5263,-832.928,-468.357,935.3057,525.1043,0.752991,0.833409,30,17610,-58.81355,108.8261,62.04594,-115.6574,90.86888
50,C4-TP9,1106,1.884157,1.251935,202.8209,-906.6983,-522.9758,989.8762,586.6555,0.798764,0.898223,30,17610,-58.49423,104.7057,60.69198,-120.4217,82.39923
51,C3-TP10,1101,1.638393,1.317938,140.8458,-575.7868,-313.0226,580.0016,290.8127,0.758761,0.775232,30,20160,-43.64656,83.2608,42.99725,-74.54595,66.29986
51,C4-TP9,1104,1.642857,1.298668,140.3234,-601.6948,-340.4996,558.2588,290.905,0.770019,0.78408,30,20160,-44.67997,82.71945,42.81356,-77.70958,62.6138
52,C3-TP10,1035,1.736577,1.310609,180.5006,-752.4058,-423.0053,764.9239,414.3774,0.763004,0.840207,30,17880,-50.49717,92.35143,54.89633,-102.7807,77.71987
52,C4-TP9,1088,1.825503,1.321461,172.5806,-710.1389,-392.9691,713.6513,392.9449,0.756738,0.820562,30,17880,-50.12975,91.96114,52.57226,-98.18728,74.39336
53,C3-TP10,855,1.568807,1.363766,166.5089,-651.4663,-372.2755,672.7368,383.7257,0.733264,0.792782,30,16350,-47.73157,87.57997,51.55683,-96.12016,70.38879
53,C4-TP9,675,1.238532,1.219437,155.0784,-672.9132,-394.8354,688.5212,416.5495,0.820051,0.917668,30,16350,-44.15531,79.6428,47.47336,-92.70359,62.37479
54,C3-TP10,563,1.119284,1.176643,123.5099,-546.7793,-315.9847,578.587,331.5144,0.849875,0.917147,30,15090,-40.75023,75.31333,37.38896,-68.96647,54.54346
54,C4-TP9,692,1.375746,1.206662,130.9421,-549.1875,-312.2641,600.7551,346.4149,0.828733,0.904788,30,15090,-43.74584,80.93273,39.77128,-73.26187,57.68026
55,C3-TP10,560,1.025641,1.277482,118.1453,-552.7122,-312.1176,524.5968,279.6977,0.78279,0.853528,30,16380,-35.58714,65.57379,35.75299,-68.37923,49.76602
55,C4-TP9,526,0.96337,1.278631,111.0305,-502.7491,-285.7143,511.8088,277.0809,0.782086,0.858663,30,16380,-34.04124,62.8002,32.91604,-63.72991,47.30057
56,C3-TP10,1228,1.824666,1.358135,161.1901,-663.5711,-378.0679,640.576,357.738,0.736304,0.782934,30,20190,-48.45909,88.30424,48.98085,-93.54249,67.64765
56,C4-TP9,1276,1.895988,1.337633,159.5509,-682.589,-394.1457,625.0494,353.7111,0.747589,0.783774,30,20190,-49.79546,89.6054,48.70756,-92.35256,67.1983
57,C3-TP10,935,1.587436,1.245861,151.3534,-682.8226,-392.5017,680.9622,371.7792,0.802658,0.854834,30,17670,-44.61437,81.07539,45.99002,-87.21079,64.14261
57,C4-TP9,949,1.611205,1.242413,151.9184,-679.9662,-382.6791,690.2871,375.711,0.804885,0.855094,30,17670,-44.99365,82.5611,46.13128,-86.02845,65.88996
58,C3-TP10,432,1.127937,1.272407,101.4458,-449.2787,-253.1684,428.855,209.706,0.785912,0.756992,30,11490,-33.31366,63.37962,30.23896,-54.09571,47.35011
58,C4-TP9,431,1.125326,1.277425,100.7409,-457.534,-262.1348,422.1977,215.9906,0.782825,0.777221,30,11490,-33.9218,63.08639,30.20286,-56.14588,44.59503
59,C3-TP10,311,0.742243,1.341383,80.07802,-326.3926,-186.6513,325.2126,175.3261,0.745499,0.785592,30,12570,-27.94805,50.77253,24.18751,-45.42202,34.656
59,C4-TP9,368,0.878282,1.337636,89.41278,-395.8578,-219.6677,356.8257,195.1223,0.747588,0.759201,30,12570,-30.40429,55.35273,27.22828,-51.08597,38.32681
60,C3-TP10,1035,1.754237,1.314512,196.3634,-801.1674,-450.0087,893.0059,511.0122,0.760739,0.869441,30,17700,-58.15522,106.5242,59.10978,-111.8505,84.51299
60,C4-TP9,1013,1.716949,1.277285,189.2382,-799.1044,-449.5039,881.6354,518.0724,0.78291,0.903142,30,17700,-54.43401,98.12564,57.26033,-111.7438,77.49439
61,C3-TP10,921,1.959574,1.30013,139.0202,-583.1661,-337.9062,526.6958,276.8425,0.769154,0.762758,30,14100,-43.79801,82.45418,42.89512,-76.18877,62.83139
61,C4-TP9,897,1.908511,1.365719,136.6402,-522.534,-289.6199,493.5534,259.817,0.732215,0.741751,30,14100,-43.51721,81.78381,42.48515,-73.70788,62.93235
62,C3-TP10,768,1.398907,1.386341,138.1163,-543.7758,-299.405,576.2568,291.9722,0.721323,0.76427,30,16470,-40.52707,76.78471,41.99756,-73.45135,64.66492
62,C4-TP9,714,1.300546,1.365042,123.8174,-534.9524,-305.2035,496.8851,272.6253,0.732578,0.744293,30,16470,-40.49438,73.49641,37.57893,-71.8028,52.01459
63,C3-TP10,545,0.969751,1.27356,104.9544,-464.7913,-264.9752,484.7598,265.958,0.785201,0.851243,30,16860,-33.46654,61.15566,31.4415,-60.61509,44.33928
63,C4-TP9,585,1.040925,1.305607,101.4573,-408.3971,-222.2616,457.0508,233.3748,0.765927,0.81729,30,16860,-32.48162,61.58452,30.38094,-54.472,46.98533
64,C3-TP10,902,1.295977,1.16071,153.6659,-662.5854,-382.7281,703.0978,413.0147,0.861542,0.953488,30,20880,-44.76521,80.83345,47.73524,-87.54239,66.1235
64,C4-TP9,1116,1.603448,1.182778,171.4206,-757.9999,-457.6644,754.6444,458.8217,0.845467,0.912361,30,20880,-50.28839,88.43878,53.441,-101.4286,69.99205
65,C3-TP10,974,1.8659,1.28847,156.7308,-656.2125,-381.4966,648.1123,369.2011,0.776114,0.848713,30,15660,-48.88687,88.8121,48.38997,-90.16673,66.56403
65,C4-TP9,934,1.789272,1.327901,143.221,-588.4233,-339.0356,569.1233,311.8966,0.753068,0.782612,30,15660,-45.51657,83.4623,44.02764,-80.88922,62.33178
66,C3-TP10,1521,2.429712,1.211729,205.2837,-871.6834,-484.132,927.576,503.3476,0.825267,0.876839,30,18780,-59.04339,111.4572,62.75593,-111.3132,93.97053
